Chinese grenade,Chinese grenade
Firing,Firing
IED,IED
IEDs,IED
Improvised Explosive,IED
Improvised Explosive Device,IED
Improvised Explosive Devices,IED
Improvised Explosive device,IED
Injured,Injured
NotSpecified,NotSpecified
Under Barrel Grenades,Under Barrel Grenades
VBIED,VBIED
Vehicle Borne Improvised Device Explosive,VBIED
Vehicle Borne Improvised Explosion Device,VBIED
Vehicle Borne Improvised Explosive Device,VBIED
Vehicle borne Improvised Devices,VBIED
a,a
abduct,abduct
abducted,abduct
abduction,abduct
abductions,abduct
ablaze,ablaze
afire,afire
ambush,ambush
ambushed,ambush
ammunition,ammunition
ammunition rounds,ammunition
assassinated,assassinated
assault,assault
assaulted,assault
attack,attack
attacked,attack
attacking,attack
attacks,attack
automatic weapons,automatic weapons
barged,barged
beaten,beaten
beheaded,beheaded
blast,blast
blasted,blast
blasts,blast
blew,blew
blew up,blew
blown,blew
blown up,blew
bomb,bomb
bomb attack,bomb
bomb explosion,bomb
bombing,bomb
bombs,bomb
brandishing,brandishing
bullet injuries,bullet injuries
burnt,burnt
captured,captured
car explosion,exploded
control,control
cracker bomb,cracker bomb
crude bombs,crude bombs
damaged,damaged
dead,dead
death,dead
derailed,derailed
destroyed,destroyed
destroying,destroyed
detonated,detonated
detonating,detonated
die,dead
died,dead
dynamite blast,dynamite blast
encounter,encounter
exchange of fire,exchange of fire
explosion,exploded
executed,executed
exploded,exploded
explosions,exploded
explosive,explosive
explosive device,explosive
explosive vest,explosive
explosives,explosive
extort,extort
extortion,extort
fighting,fighting
fire,fire
fired,fire
firing,fire
grenade,grenade
grenade attack,grenade
grenade attacks,grenade
grenade blast,grenade
grenades,grenade
gun attack,gun attack
gun battle,gun attack
gun fire,gun attack
gunfight,gun attack
gunfire,gun attack
gunned,gun attack
gunning,gun attack
gunpoint,gun attack
gunshots,gun attack
hacked,hacked
hand grenade,hand grenade
hand grenade attack,hand grenade
hand grenades,hand grenade
hijacked,hijacked
hit,hit
hostage,hostage
hurled,hurled
hurt,hurt
improvised electronic devices,IED
improvised explosive device,IED
incident,incident
infiltration,infiltration
injured,injured
injures,injured
injuries,injured
injuring,injured
injury,injured
inured,inured
kicked,kicked
kidnapped,abduct
kill,killed
killed,killed
killedin,killed
killing,killed
killings,killed
landline explosion,exploded
landmine,landmine blast
landmine blast,landmine blast
landmine explosives,landmine blast
landmines,landmine blast
light and heavy weapons,light and heavy weapons
live ammunition,live ammunition
lobbing,lobbing
looted,looted
martyred,martyred
mine,mine blast
mine blast,mine blast
mine explosion,mine blast
missing,missing
mortar attack,mortar attack
mortar bombs,mortar attack
mortar mine,mortar attack
mprovised Explosive Device,IED
murder,murdered
murdered,murdered
njuries,injured
opened fire,opened fire
passenger bus,passenger bus
pressure IED,IED
pressure bomb,pressure bomb
pressure bomb blast,pressure bomb
pressure improvised bomb,pressure bomb
pump house,pump house
raided,raided
ransom,ransom
remote controlled bomb,remote controlled bomb
revolver,revolver
rifle grenades,rifle grenades
roadside bomb,roadside bomb
seized,seized
set on fire,set on fire
sharp edged weapon,sharp edged weapon
sharp objects,sharp objects
shooting,shot 
shot,shot
slit their throats,slitting 
slitting,slitting 
smoke bombs,smoke bombs
sniper fire,sniper fire
stabbed,stabbed
sticks,sticks
stones,stones
storm,storm
strike,strike
struck,strike
suicide attack,suicide attack
suicide bombers,suicide attack
suicide bombings,suicide attack
suicide jackets,suicide attack
suicide vest,suicide attack
taken,taken
target killing incident,killed
targeted killing,killed
tear gas,tear gas
thrashed,thrashed
took contro,took control
torched,torched
torching,torched
tortured,tortured
triggered,triggered
vehicle,vehicle
weapons,weapons
wounded,wounded